
[대차거래추이]
          일자   대차거래체결주수  대차거래상환주수           잔고주수     대차거래증감        잔고금액
0   20250430   35330036  25217364  2,460,259,444   10112672  73,956,254
1   20250429   23721553  13986586  2,125,919,149    9734967  66,422,682
2   20250428   17165250  30883228  2,276,180,199  -13717978  68,480,718
3   20250425   62932490  85148199  2,355,269,107  -22215709  69,882,489
4   20250424   30135970  93017150  2,318,998,741  -62881180  69,525,253
5   20250423   30838459  34891379  2,545,054,750   -4052920  76,902,502
6   20250422   26216863  16330433  2,381,611,020    9886430  70,182,412
7   20250421   19980141  34017588  2,438,956,948  -14037447  70,811,572
8   20250418   38097386  35642611  2,551,669,234    2454775  76,580,735
9   20250417   29772423  28915408  2,460,488,402     857015  71,966,096
10  20250416   26825418  22463364  2,547,858,312    4362054  76,051,561
11  20250415   25281075  36952608  2,097,884,289  -11671533  67,667,716
12  20250414   39262155  32316904  2,298,281,717    6945251  70,796,474
13  20250411   40306641  16566061  2,382,187,940   23740580  71,731,178
14  20250410  116304097  31704429  2,425,303,472   84599668  71,846,820
15  20250409          0         0              0          0           0
16  20250408    3711968    674762    439,896,889    3037206   4,263,744
17  20250407   16824540   2839228    439,582,125   13985312   4,190,619
18  20250404   46648166  16007319  1,403,491,340   30640847  59,140,380
19  20250403   40698932  24736546  1,801,259,190   15962386  63,117,921
20  20250402   71416115  26659951  2,202,684,433   44756164  70,174,532
21  20250401   71402914  19093075  1,998,434,074   52309839  62,785,717
