
[업종코드리스트]
   marketCode   코드        업종명  그룹
0           0  001  종합(KOSPI)   1
1           0  002        대형주   2
2           0  003        중형주   3
3           0  004        소형주   4
4           0  005     음식료/담배   5
5           0  006      섬유/의류   6
6           0  007      종이/목재   7
7           0  008         화학   8
8           0  009         제약   9
9           0  010        비금속  10
10          0  011         금속  11
11          0  012      기계/장비  12
12          0  013      전기/전자  13
13          0  014    의료/정밀기기  14
14          0  015    운송장비/부품  15
15          0  016         유통  16
16          0  017      전기/가스  17
17          0  018         건설  18
18          0  019      운송/창고  19
19          0  020         통신  20
20          0  021         금융  21
21          0  024         증권  24
22          0  025         보험  25
23          0  026      일반서비스  26
24          0  027         제조  27
25          0  028        부동산  28
26          0  029     IT 서비스  29
27          0  030      오락/문화  30
28          6  603      변동성지수   3
29          6  604   코스피고배당50   4
30          6  605  코스피배당성장50   5
