
[요약]
     종목코드 마지막틱갯수
0  005930       
1  005930       
2  005930       
3  005930       
4  005930       
5  005930       
6  005930       
7  005930       
8  005930       
9  005930       

[주식틱차트조회]
          현재가 거래량            체결시간       시가       고가       저가   전일대비 전일대비 기호
0     270,000   1  20260520144910  270,000  270,000  270,000  12000       5
1     270,000   1  20260520144815  270,000  270,000  270,000  12000       5
2     270,000   1  20260520144720  270,000  270,000  270,000  12000       5
3     270,000   1  20260520144625  270,000  270,000  270,000  12000       5
4     270,000   1  20260520144530  270,000  270,000  270,000  12000       5
...       ...  ..             ...      ...      ...      ...    ...     ...
8995  485,500   1  20260507130908  485,500  485,500  485,500   4500       5
8996  485,500   1  20260507130907  485,500  485,500  485,500   4500       5
8997  485,500   1  20260507130907  485,500  485,500  485,500   4500       5
8998  485,500   1  20260507130907  485,500  485,500  485,500   4500       5
8999  485,500   1  20260507130907  485,500  485,500  485,500   4500       5

[9000 rows x 8 columns]
