
[요약]
  업종코드
0  001
1  001
2  001
3  001
4  001
5  001
6  001
7  001
8  001
9  001

[업종틱차트조회]
            현재가 거래량            체결시간         시가         고가         저가    전일대비 전일대비 기호
0       690,191   0  20260520144950    690,191    690,191    690,191   29912      45
1       690,191   0  20260520144940    690,191    690,191    690,191   29912      45
2       690,191   0  20260520144930    690,191    690,191    690,191   29912      45
3       690,191   0  20260520144920    690,191    690,191    690,191   29912      45
4       690,191   0  20260520144910    690,191    690,191    690,191   29912      45
...         ...  ..             ...        ...        ...        ...     ...     ...
8995  1,025,498   0  20260511143640  1,025,498  1,025,498  1,025,498  110283      45
8996  1,025,498   0  20260511143630  1,025,498  1,025,498  1,025,498  110283      45
8997  1,025,498   0  20260511143620  1,025,498  1,025,498  1,025,498  110283      45
8998  1,025,498   0  20260511143610  1,025,498  1,025,498  1,025,498  110283      45
8999  1,025,498   0  20260511143600  1,025,498  1,025,498  1,025,498  110283      45

[9000 rows x 8 columns]
