
[요약]
  업종코드
0  001

[업종주봉조회]
        현재가     거래량        일자       시가       고가       저가       거래대금
0   580,561    3108  20250901  460,842  581,026  370,665    246,483
1   460,814   69810  20250825  329,128  463,965  309,855  8,288,294
2   329,510    5044  20250818  321,086  335,291  273,022    325,976
3   321,285   19974  20250811  323,030  334,471  275,565  4,572,786
4   323,418    3409  20250804  298,174  323,418  254,612    225,342
5   298,110   11827  20250728  318,923  347,712  296,749  2,095,108
6   310,766    9354  20250721  327,083  332,901  299,142  1,158,666
7   327,085    5579  20250714  293,212  333,740  280,809    274,068
8   293,438    7399  20250707  304,633  338,935  285,759    412,989
9   313,668     848  20250630  295,849  332,397  271,286      88251
10  295,849   22818  20250623  278,255  301,405  256,250    238,803
11  278,863   15380  20250616  285,006  289,551  260,059  1,199,299
12  290,426  288481  20250609  129,556  293,238  122,497  4,595,021
13  129,561   50816  20250605  126,825  133,263  119,891      57173
