api_id,api_name,function_name,template_kind,category,sub_category,url,enabled
au10001,접근토큰 발급,create_access_token,oauth,OAuth 인증,접근토큰발급,/oauth2/token,Y
au10002,접근토큰폐기,delete_access_token,oauth,OAuth 인증,접근토큰폐기,/oauth2/revoke,Y
ka00001,계좌번호조회,list_domestic_accounts,rest,국내주식,계좌,/api/dostk/acnt,Y
ka00198,실시간종목조회순위,get_domestic_realtime_stock_rank,rest,국내주식,종목정보,/api/dostk/stkinfo,Y
ka01690,일별잔고수익률,get_domestic_daily_balance_return_rate,rest,국내주식,계좌,/api/dostk/acnt,Y
ka10001,주식기본정보요청,get_domestic_stock_info,rest,국내주식,종목정보,/api/dostk/stkinfo,Y
ka10002,주식거래원요청,get_domestic_stock_brokers,rest,국내주식,종목정보,/api/dostk/stkinfo,Y
ka10003,체결정보요청,get_domestic_stock_execution_info,rest,국내주식,종목정보,/api/dostk/stkinfo,Y
ka10004,주식호가요청,get_domestic_stock_quote,rest,국내주식,시세,/api/dostk/mrkcond,Y
ka10005,주식일주월시분요청,get_domestic_stock_ohlcv_by_period,rest,국내주식,시세,/api/dostk/mrkcond,Y
ka10006,주식시분요청,get_domestic_stock_intraday_minute_data,rest,국내주식,시세,/api/dostk/mrkcond,Y
ka10007,시세표성정보요청,get_domestic_stock_market_condition_info,rest,국내주식,시세,/api/dostk/mrkcond,Y
ka10008,주식외국인종목별매매동향,get_domestic_stock_foreign_investor_trade_trend,rest,국내주식,기관/외국인,/api/dostk/frgnistt,Y
ka10009,주식기관요청,get_domestic_stock_institution_trade,rest,국내주식,기관/외국인,/api/dostk/frgnistt,Y
ka10010,업종프로그램요청,get_domestic_sector_program,rest,국내주식,업종,/api/dostk/sect,Y
ka10011,신주인수권전체시세요청,get_domestic_subscription_rights_all_quotes,rest,국내주식,시세,/api/dostk/mrkcond,Y
ka10013,신용매매동향요청,get_domestic_credit_trade_trend,rest,국내주식,종목정보,/api/dostk/stkinfo,Y
ka10014,공매도추이요청,get_domestic_short_sale_trend,rest,국내주식,공매도,/api/dostk/shsa,Y
ka10015,일별거래상세요청,get_domestic_daily_trade_detail,rest,국내주식,종목정보,/api/dostk/stkinfo,Y
ka10016,신고저가요청,get_domestic_stock_new_high_low_price,rest,국내주식,종목정보,/api/dostk/stkinfo,Y
ka10017,상하한가요청,get_domestic_upper_lower_limit_stocks,rest,국내주식,종목정보,/api/dostk/stkinfo,Y
ka10018,고저가근접요청,get_domestic_near_high_low_stocks,rest,국내주식,종목정보,/api/dostk/stkinfo,Y
ka10019,가격급등락요청,get_domestic_price_surge_drop_stocks,rest,국내주식,종목정보,/api/dostk/stkinfo,Y
ka10020,호가잔량상위요청,get_domestic_order_book_depth_top,rest,국내주식,순위정보,/api/dostk/rkinfo,Y
ka10021,호가잔량급증요청,get_domestic_order_book_depth_surge,rest,국내주식,순위정보,/api/dostk/rkinfo,Y
ka10022,잔량율급증요청,get_domestic_order_balance_ratio_surge,rest,국내주식,순위정보,/api/dostk/rkinfo,Y
ka10023,거래량급증요청,get_domestic_volume_surge,rest,국내주식,순위정보,/api/dostk/rkinfo,Y
ka10024,거래량갱신요청,get_domestic_volume_record_update,rest,국내주식,종목정보,/api/dostk/stkinfo,Y
ka10025,매물대집중요청,get_domestic_volume_profile_cluster,rest,국내주식,종목정보,/api/dostk/stkinfo,Y
ka10026,고저PER요청,get_domestic_high_low_per_stocks,rest,국내주식,종목정보,/api/dostk/stkinfo,Y
ka10027,전일대비등락률상위요청,get_domestic_prev_day_change_rate_top,rest,국내주식,순위정보,/api/dostk/rkinfo,Y
ka10028,시가대비등락률요청,get_domestic_open_price_change_rate,rest,국내주식,종목정보,/api/dostk/stkinfo,Y
ka10029,예상체결등락률상위요청,get_domestic_expected_execution_change_rate_top,rest,국내주식,순위정보,/api/dostk/rkinfo,Y
ka10030,당일거래량상위요청,get_domestic_today_volume_top,rest,국내주식,순위정보,/api/dostk/rkinfo,Y
ka10031,전일거래량상위요청,get_domestic_prev_volume_top,rest,국내주식,순위정보,/api/dostk/rkinfo,Y
ka10032,거래대금상위요청,get_domestic_trading_value_top,rest,국내주식,순위정보,/api/dostk/rkinfo,Y
ka10033,신용비율상위요청,get_domestic_credit_ratio_top,rest,국내주식,순위정보,/api/dostk/rkinfo,Y
ka10034,외인기간별매매상위요청,get_domestic_foreign_investor_period_trade_top,rest,국내주식,순위정보,/api/dostk/rkinfo,Y
ka10035,외인연속순매매상위요청,get_domestic_foreign_investor_net_buy_streak_top,rest,국내주식,순위정보,/api/dostk/rkinfo,Y
ka10036,외인한도소진율증가상위,get_domestic_foreign_investor_limit_exhaustion_rate_increase_top,rest,국내주식,순위정보,/api/dostk/rkinfo,Y
ka10037,외국계창구매매상위요청,get_domestic_foreign_broker_trade_top,rest,국내주식,순위정보,/api/dostk/rkinfo,Y
ka10038,종목별증권사순위요청,get_domestic_stock_broker_rank,rest,국내주식,순위정보,/api/dostk/rkinfo,Y
ka10039,증권사별매매상위요청,get_domestic_broker_trade_top,rest,국내주식,순위정보,/api/dostk/rkinfo,Y
ka10040,당일주요거래원요청,get_domestic_today_major_brokers,rest,국내주식,순위정보,/api/dostk/rkinfo,Y
ka10042,순매수거래원순위요청,get_domestic_net_buy_broker_rank,rest,국내주식,순위정보,/api/dostk/rkinfo,Y
ka10043,거래원매물대분석요청,get_domestic_broker_volume_profile_analysis,rest,국내주식,종목정보,/api/dostk/stkinfo,Y
ka10044,일별기관매매종목요청,get_domestic_daily_institution_stock_trade,rest,국내주식,시세,/api/dostk/mrkcond,Y
ka10045,종목별기관매매추이요청,get_domestic_stock_institution_trade_trend,rest,국내주식,시세,/api/dostk/mrkcond,Y
ka10046,체결강도추이시간별요청,get_domestic_trade_strength_time_trend,rest,국내주식,시세,/api/dostk/mrkcond,Y
ka10047,체결강도추이일별요청,get_domestic_trade_strength_daily_trend,rest,국내주식,시세,/api/dostk/mrkcond,Y
ka10048,ELW일별민감도지표요청,get_domestic_elw_daily_sensitivity_indicator,rest,국내주식,ELW,/api/dostk/elw,Y
ka10050,ELW민감도지표요청,get_domestic_elw_sensitivity_indicator,rest,국내주식,ELW,/api/dostk/elw,Y
ka10051,업종별투자자순매수요청,get_domestic_sector_investor_net_buy,rest,국내주식,업종,/api/dostk/sect,Y
ka10052,거래원순간거래량요청,get_domestic_broker_instant_volume,rest,국내주식,종목정보,/api/dostk/stkinfo,Y
ka10053,당일상위이탈원요청,get_domestic_today_top_exit_brokers,rest,국내주식,순위정보,/api/dostk/rkinfo,Y
ka10054,변동성완화장치발동종목요청,get_domestic_vi_triggered_stocks,rest,국내주식,종목정보,/api/dostk/stkinfo,Y
ka10055,당일전일체결량요청,get_domestic_today_prev_trade_volume,rest,국내주식,종목정보,/api/dostk/stkinfo,Y
ka10058,투자자별일별매매종목요청,get_domestic_investor_daily_trade_stocks,rest,국내주식,종목정보,/api/dostk/stkinfo,Y
ka10059,종목별투자자기관별요청,get_domestic_stock_investor_by_institution,rest,국내주식,종목정보,/api/dostk/stkinfo,Y
ka10060,종목별투자자기관별차트요청,get_domestic_stock_investor_by_institution_chart,rest,국내주식,차트,/api/dostk/chart,Y
ka10061,종목별투자자기관별합계요청,get_domestic_stock_investor_by_institution_total,rest,국내주식,종목정보,/api/dostk/stkinfo,Y
ka10062,동일순매매순위요청,get_domestic_same_direction_net_trade_rank,rest,국내주식,순위정보,/api/dostk/rkinfo,Y
ka10063,장중투자자별매매요청,get_domestic_intraday_investor_trade,rest,국내주식,시세,/api/dostk/mrkcond,Y
ka10064,장중투자자별매매차트요청,get_domestic_intraday_investor_trade_chart,rest,국내주식,차트,/api/dostk/chart,Y
ka10065,장중투자자별매매상위요청,get_domestic_intraday_investor_trade_top,rest,국내주식,순위정보,/api/dostk/rkinfo,Y
ka10066,장마감후투자자별매매요청,get_domestic_after_close_investor_trade,rest,국내주식,시세,/api/dostk/mrkcond,Y
ka10068,대차거래추이요청,get_domestic_stock_lending_trade_trend,rest,국내주식,대차거래,/api/dostk/slb,Y
ka10069,대차거래상위10종목요청,get_domestic_stock_lending_top_10_stocks,rest,국내주식,대차거래,/api/dostk/slb,Y
ka10072,일자별종목별실현손익요청_일자,get_domestic_realized_pnl_by_date_and_stock,rest,국내주식,계좌,/api/dostk/acnt,Y
ka10073,일자별종목별실현손익요청_기간,get_domestic_realized_pnl_by_period_and_stock,rest,국내주식,계좌,/api/dostk/acnt,Y
ka10074,일자별실현손익요청,get_domestic_daily_realized_pnl,rest,국내주식,계좌,/api/dostk/acnt,Y
ka10075,미체결요청,get_domestic_unfilled_orders,rest,국내주식,계좌,/api/dostk/acnt,Y
ka10076,체결요청,get_domestic_filled_orders,rest,국내주식,계좌,/api/dostk/acnt,Y
ka10077,당일실현손익상세요청,get_domestic_today_realized_pnl_detail,rest,국내주식,계좌,/api/dostk/acnt,Y
ka10078,증권사별종목매매동향요청,get_domestic_broker_stock_trade_trend,rest,국내주식,시세,/api/dostk/mrkcond,Y
ka10079,주식틱차트조회요청,get_domestic_stock_tick_chart,rest,국내주식,차트,/api/dostk/chart,Y
ka10080,주식분봉차트조회요청,get_domestic_stock_minute_chart,rest,국내주식,차트,/api/dostk/chart,Y
ka10081,주식일봉차트조회요청,get_domestic_stock_daily_chart,rest,국내주식,차트,/api/dostk/chart,Y
ka10082,주식주봉차트조회요청,get_domestic_stock_weekly_chart,rest,국내주식,차트,/api/dostk/chart,Y
ka10083,주식월봉차트조회요청,get_domestic_stock_monthly_chart,rest,국내주식,차트,/api/dostk/chart,Y
ka10084,당일전일체결요청,get_domestic_today_prev_trades,rest,국내주식,종목정보,/api/dostk/stkinfo,Y
ka10085,계좌수익률요청,get_domestic_account_return_rate,rest,국내주식,계좌,/api/dostk/acnt,Y
ka10086,일별주가요청,get_domestic_daily_stock_price,rest,국내주식,시세,/api/dostk/mrkcond,Y
ka10087,시간외단일가요청,get_domestic_after_hours_single_price,rest,국내주식,시세,/api/dostk/mrkcond,Y
ka10088,미체결 분할주문 상세,get_domestic_unfilled_split_order_detail,rest,국내주식,계좌,/api/dostk/acnt,Y
ka10094,주식년봉차트조회요청,get_domestic_stock_yearly_chart,rest,국내주식,차트,/api/dostk/chart,Y
ka10095,관심종목정보요청,get_domestic_watchlist_stock_info,rest,국내주식,종목정보,/api/dostk/stkinfo,Y
ka10098,시간외단일가등락율순위요청,get_domestic_after_hours_single_price_change_rate_rank,rest,국내주식,순위정보,/api/dostk/rkinfo,Y
ka10099,종목정보 리스트,list_domestic_stocks,rest,국내주식,종목정보,/api/dostk/stkinfo,Y
ka10100,종목정보 조회,get_domestic_stock_detail,rest,국내주식,종목정보,/api/dostk/stkinfo,Y
ka10101,업종코드 리스트,list_domestic_sector_codes,rest,국내주식,종목정보,/api/dostk/stkinfo,Y
ka10102,회원사 리스트,list_domestic_brokers,rest,국내주식,종목정보,/api/dostk/stkinfo,Y
ka10131,기관외국인연속매매현황요청,get_domestic_institution_foreign_investor_trade_streak,rest,국내주식,기관/외국인,/api/dostk/frgnistt,Y
ka10170,당일매매일지요청,get_domestic_today_trade_journal,rest,국내주식,계좌,/api/dostk/acnt,Y
ka10171,조건검색 목록조회,list_domestic_condition_searches,websocket_request_once,국내주식,조건검색,/api/dostk/websocket,Y
ka10172,조건검색 요청 일반,request_domestic_condition_search,websocket_request_once,국내주식,조건검색,/api/dostk/websocket,Y
ka10173,조건검색 요청 실시간,request_domestic_realtime_condition_search,websocket_realtime,국내주식,조건검색,/api/dostk/websocket,Y
ka10174,조건검색 실시간 해제,stop_domestic_realtime_condition_search,websocket_request_once,국내주식,조건검색,/api/dostk/websocket,Y
ka20001,업종현재가요청,get_domestic_sector_price,rest,국내주식,업종,/api/dostk/sect,Y
ka20002,업종별주가요청,get_domestic_sector_stock_price,rest,국내주식,업종,/api/dostk/sect,Y
ka20003,전업종지수요청,get_domestic_all_sector_indices,rest,국내주식,업종,/api/dostk/sect,Y
ka20004,업종틱차트조회요청,get_domestic_sector_tick_chart,rest,국내주식,차트,/api/dostk/chart,Y
ka20005,업종분봉조회요청,get_domestic_sector_minute_chart,rest,국내주식,차트,/api/dostk/chart,Y
ka20006,업종일봉조회요청,get_domestic_sector_daily_chart,rest,국내주식,차트,/api/dostk/chart,Y
ka20007,업종주봉조회요청,get_domestic_sector_weekly_chart,rest,국내주식,차트,/api/dostk/chart,Y
ka20008,업종월봉조회요청,get_domestic_sector_monthly_chart,rest,국내주식,차트,/api/dostk/chart,Y
ka20009,업종현재가일별요청,get_domestic_sector_daily_price,rest,국내주식,업종,/api/dostk/sect,Y
ka20019,업종년봉조회요청,get_domestic_sector_yearly_chart,rest,국내주식,차트,/api/dostk/chart,Y
ka20068,대차거래추이요청(종목별),get_domestic_stock_lending_trade_trend_by_stock,rest,국내주식,대차거래,/api/dostk/slb,Y
ka30001,ELW가격급등락요청,get_domestic_elw_price_surge_drop,rest,국내주식,ELW,/api/dostk/elw,Y
ka30002,거래원별ELW순매매상위요청,get_domestic_broker_elw_net_buy_top,rest,국내주식,ELW,/api/dostk/elw,Y
ka30003,ELWLP보유일별추이요청,get_domestic_elw_lp_daily_holding_trend,rest,국내주식,ELW,/api/dostk/elw,Y
ka30004,ELW괴리율요청,get_domestic_elw_disparity_rate,rest,국내주식,ELW,/api/dostk/elw,Y
ka30005,ELW조건검색요청,search_domestic_elw_by_condition,rest,국내주식,ELW,/api/dostk/elw,Y
ka30009,ELW등락율순위요청,get_domestic_elw_change_rate_rank,rest,국내주식,ELW,/api/dostk/elw,Y
ka30010,ELW잔량순위요청,get_domestic_elw_remaining_order_rank,rest,국내주식,ELW,/api/dostk/elw,Y
ka30011,ELW근접율요청,get_domestic_elw_proximity_rate,rest,국내주식,ELW,/api/dostk/elw,Y
ka30012,ELW종목상세정보요청,get_domestic_elw_detail,rest,국내주식,ELW,/api/dostk/elw,Y
ka40001,ETF수익율요청,get_domestic_etf_return_rate,rest,국내주식,ETF,/api/dostk/etf,Y
ka40002,ETF종목정보요청,get_domestic_etf_info,rest,국내주식,ETF,/api/dostk/etf,Y
ka40003,ETF일별추이요청,get_domestic_etf_daily_trend,rest,국내주식,ETF,/api/dostk/etf,Y
ka40004,ETF전체시세요청,get_domestic_etf_all_quotes,rest,국내주식,ETF,/api/dostk/etf,Y
ka40006,ETF시간대별추이요청,get_domestic_etf_intraday_trend,rest,국내주식,ETF,/api/dostk/etf,Y
ka40007,ETF시간대별체결요청,get_domestic_etf_intraday_trades,rest,국내주식,ETF,/api/dostk/etf,Y
ka40008,ETF일자별체결요청,get_domestic_etf_trades_by_date,rest,국내주식,ETF,/api/dostk/etf,Y
ka40009,ETF시간대별체결요청,get_domestic_etf_intraday_nav_status,rest,국내주식,ETF,/api/dostk/etf,Y
ka40010,ETF시간대별추이요청,get_domestic_etf_intraday_supply_demand_status,rest,국내주식,ETF,/api/dostk/etf,Y
ka50010,금현물체결추이,get_domestic_gold_spot_trade_trend,rest,국내주식,시세,/api/dostk/mrkcond,Y
ka50012,금현물일별추이,get_domestic_gold_spot_daily_trend,rest,국내주식,시세,/api/dostk/mrkcond,Y
ka50079,금현물틱차트조회요청,get_domestic_gold_spot_tick_chart,rest,국내주식,차트,/api/dostk/chart,Y
ka50080,금현물분봉차트조회요청,get_domestic_gold_spot_minute_chart,rest,국내주식,차트,/api/dostk/chart,Y
ka50081,금현물일봉차트조회요청,get_domestic_gold_spot_daily_chart,rest,국내주식,차트,/api/dostk/chart,Y
ka50082,금현물주봉차트조회요청,get_domestic_gold_spot_weekly_chart,rest,국내주식,차트,/api/dostk/chart,Y
ka50083,금현물월봉차트조회요청,get_domestic_gold_spot_monthly_chart,rest,국내주식,차트,/api/dostk/chart,Y
ka50087,금현물예상체결,get_domestic_gold_spot_expected_execution,rest,국내주식,시세,/api/dostk/mrkcond,Y
ka50091,금현물당일틱차트조회요청,get_domestic_gold_spot_today_tick_chart,rest,국내주식,차트,/api/dostk/chart,Y
ka50092,금현물당일분봉차트조회요청,get_domestic_gold_spot_today_minute_chart,rest,국내주식,차트,/api/dostk/chart,Y
ka50100,금현물 시세정보,get_domestic_gold_spot_quote_info,rest,국내주식,시세,/api/dostk/mrkcond,Y
ka50101,금현물 호가,get_domestic_gold_spot_quote,rest,국내주식,시세,/api/dostk/mrkcond,Y
ka52301,금현물투자자현황,get_domestic_gold_spot_investor_status,rest,국내주식,기관/외국인,/api/dostk/frgnistt,Y
ka90001,테마그룹별요청,get_domestic_theme_groups,rest,국내주식,테마,/api/dostk/thme,Y
ka90002,테마구성종목요청,get_domestic_theme_stocks,rest,국내주식,테마,/api/dostk/thme,Y
ka90003,프로그램순매수상위50요청,get_domestic_program_net_buy_top_50,rest,국내주식,종목정보,/api/dostk/stkinfo,Y
ka90004,종목별프로그램매매현황요청,get_domestic_stock_program_trade_status,rest,국내주식,종목정보,/api/dostk/stkinfo,Y
ka90005,프로그램매매추이요청 시간대별,get_domestic_program_trade_intraday_trend,rest,국내주식,시세,/api/dostk/mrkcond,Y
ka90006,프로그램매매차익잔고추이요청,get_domestic_program_arbitrage_balance_trend,rest,국내주식,시세,/api/dostk/mrkcond,Y
ka90007,프로그램매매누적추이요청,get_domestic_program_trade_accumulated_trend,rest,국내주식,시세,/api/dostk/mrkcond,Y
ka90008,종목시간별프로그램매매추이요청,get_domestic_stock_program_intraday_trend,rest,국내주식,시세,/api/dostk/mrkcond,Y
ka90009,외국인기관매매상위요청,get_domestic_foreign_institution_trade_top,rest,국내주식,순위정보,/api/dostk/rkinfo,Y
ka90010,프로그램매매추이요청 일자별,get_domestic_program_trade_daily_trend,rest,국내주식,시세,/api/dostk/mrkcond,Y
ka90012,대차거래내역요청,get_domestic_stock_lending_trade_history,rest,국내주식,대차거래,/api/dostk/slb,Y
ka90013,종목일별프로그램매매추이요청,get_domestic_stock_program_daily_trend,rest,국내주식,시세,/api/dostk/mrkcond,Y
kt00001,예수금상세현황요청,get_domestic_deposit_detail,rest,국내주식,계좌,/api/dostk/acnt,Y
kt00002,일별추정예탁자산현황요청,get_domestic_daily_estimated_deposit_asset,rest,국내주식,계좌,/api/dostk/acnt,Y
kt00003,추정자산조회요청,get_domestic_estimated_asset,rest,국내주식,계좌,/api/dostk/acnt,Y
kt00004,계좌평가현황요청,get_domestic_account_evaluation_status,rest,국내주식,계좌,/api/dostk/acnt,Y
kt00005,체결잔고요청,get_domestic_order_fill_balance,rest,국내주식,계좌,/api/dostk/acnt,Y
kt00007,계좌별주문체결내역상세요청,get_domestic_account_order_fill_detail,rest,국내주식,계좌,/api/dostk/acnt,Y
kt00008,계좌별익일결제예정내역요청,get_domestic_account_next_day_settlement,rest,국내주식,계좌,/api/dostk/acnt,Y
kt00009,계좌별주문체결현황요청,get_domestic_account_order_fill_status,rest,국내주식,계좌,/api/dostk/acnt,Y
