api_id,api_name,major_category,subcategory,cli_group,cli_command,command_path,status,coverage_status,safety_policy,method,path,required_body_fields,required_header_fields,canonical_code_option,notes
au10001,접근토큰 발급,OAuth 인증,접근토큰발급,auth,login,kiwoom auth login,implemented,public,auth_write,POST,/oauth2/token,grant_type;appkey;secretkey,api-id;authorization,,Initial spec-derived mapping; review friendly command/action and argument map before implementation.
au10002,접근토큰폐기,OAuth 인증,접근토큰폐기,auth,revoke,kiwoom auth revoke,implemented,public,auth_write,POST,/oauth2/revoke,appkey;secretkey;token,api-id;authorization,,Initial spec-derived mapping; review friendly command/action and argument map before implementation.
ka00001,계좌번호조회,국내주식,계좌,accounts,list,kiwoom accounts list,implemented,guarded,account_read,POST,/api/dostk/acnt,,api-id;authorization,--account when account scoped; --code when instrument scoped,Implemented guarded account read command; response field acctNo is redacted in CLI output.
ka00198,실시간종목조회순위,국내주식,종목정보,stocks,realtime-rank,kiwoom stocks realtime-rank,implemented,public,read,POST,/api/dostk/stkinfo,qry_tp,api-id;authorization,--code when a code/symbol/sector/theme is required,Implemented as an explicit stocks read command; request fields are mapped in arguments.csv.
ka01690,일별잔고수익률,국내주식,계좌,accounts,daily-balance-return,kiwoom accounts daily-balance-return,implemented,guarded,account_read,POST,/api/dostk/acnt,qry_dt,api-id;authorization,--code when a code/symbol/sector/theme is required,Implemented via explicit arguments.csv mapping with account_read redaction; overseas accounts remain TODO until overseas runtime is verified.
ka10001,주식기본정보요청,국내주식,종목정보,stocks,info,kiwoom stocks info,implemented,public,read,POST,/api/dostk/stkinfo,stk_cd,api-id;authorization,--code when a code/symbol/sector/theme is required,First implemented public read command; --code maps to stk_cd.
ka10002,주식거래원요청,국내주식,종목정보,stocks,brokers,kiwoom stocks brokers,implemented,public,read,POST,/api/dostk/stkinfo,stk_cd,api-id;authorization,--code when a code/symbol/sector/theme is required,Implemented as an explicit stocks read command; request fields are mapped in arguments.csv.
ka10003,체결정보요청,국내주식,종목정보,stocks,fills,kiwoom stocks fills,implemented,public,read,POST,/api/dostk/stkinfo,stk_cd,api-id;authorization,--code when a code/symbol/sector/theme is required,Implemented as an explicit stocks read command; request fields are mapped in arguments.csv.
ka10004,주식호가요청,국내주식,시세,orderbooks,list,kiwoom orderbooks list,implemented,public,read,POST,/api/dostk/mrkcond,stk_cd,api-id;authorization,--code when a code/symbol/sector/theme is required,Implemented public read command; --code maps to stk_cd.
ka10005,주식일주월시분요청,국내주식,시세,quotes,multi-period,kiwoom quotes multi-period,implemented,public,read,POST,/api/dostk/mrkcond,stk_cd,api-id;authorization,--code when a code/symbol/sector/theme is required,Implemented as an explicit quotes read command; request fields are mapped in arguments.csv.
ka10006,주식시분요청,국내주식,시세,quotes,intraday-minute,kiwoom quotes intraday-minute,implemented,public,read,POST,/api/dostk/mrkcond,stk_cd,api-id;authorization,--code when a code/symbol/sector/theme is required,Implemented as an explicit quotes read command; request fields are mapped in arguments.csv.
ka10007,시세표성정보요청,국내주식,시세,quotes,price,kiwoom quotes price,implemented,public,read,POST,/api/dostk/mrkcond,stk_cd,api-id;authorization,--code when a code/symbol/sector/theme is required,Implemented public read command; --code maps to stk_cd and response includes cur_prc.
ka10008,주식외국인종목별매매동향,국내주식,기관/외국인,investors,by-stock,kiwoom investors by-stock,implemented,public,read,POST,/api/dostk/frgnistt,stk_cd,api-id;authorization,--code when a code/symbol/sector/theme is required,Implemented via explicit arguments.csv mapping.
ka10009,주식기관요청,국내주식,기관/외국인,investors,lookup,kiwoom investors lookup,implemented,public,read,POST,/api/dostk/frgnistt,stk_cd,api-id;authorization,--code when a code/symbol/sector/theme is required,Implemented via explicit arguments.csv mapping.
ka10010,업종프로그램요청,국내주식,업종,sectors,program,kiwoom sectors program,implemented,public,read,POST,/api/dostk/sect,stk_cd,api-id;authorization,--code when a code/symbol/sector/theme is required,Implemented via explicit arguments.csv mapping.
ka10011,신주인수권전체시세요청,국내주식,시세,quotes,list,kiwoom quotes list,implemented,public,read,POST,/api/dostk/mrkcond,newstk_recvrht_tp,api-id;authorization,--code when a code/symbol/sector/theme is required,Implemented via explicit arguments.csv mapping.
ka10013,신용매매동향요청,국내주식,종목정보,stocks,trend,kiwoom stocks trend,implemented,public,read,POST,/api/dostk/stkinfo,stk_cd;dt;qry_tp,api-id;authorization,--code when a code/symbol/sector/theme is required,Implemented via explicit arguments.csv mapping.
ka10014,공매도추이요청,국내주식,공매도,short-selling,trend,kiwoom short-selling trend,implemented,public,read,POST,/api/dostk/shsa,stk_cd;strt_dt;end_dt,api-id;authorization,--code when a code/symbol/sector/theme is required,Implemented via explicit arguments.csv mapping.
ka10015,일별거래상세요청,국내주식,종목정보,stocks,daily-trades,kiwoom stocks daily-trades,implemented,public,read,POST,/api/dostk/stkinfo,stk_cd;strt_dt,api-id;authorization,--code when a code/symbol/sector/theme is required,Implemented as an explicit stocks read command; request fields are mapped in arguments.csv.
ka10016,신고저가요청,국내주식,종목정보,stocks,new-high-low,kiwoom stocks new-high-low,implemented,public,read,POST,/api/dostk/stkinfo,mrkt_tp;ntl_tp;high_low_close_tp;stk_cnd;trde_qty_tp;crd_cnd;updown_incls;dt;stex_tp,api-id;authorization,--code when a code/symbol/sector/theme is required,Implemented as an explicit stocks read command; request fields are mapped in arguments.csv.
ka10017,상하한가요청,국내주식,종목정보,stocks,limit-move,kiwoom stocks limit-move,implemented,public,read,POST,/api/dostk/stkinfo,mrkt_tp;updown_tp;sort_tp;stk_cnd;trde_qty_tp;crd_cnd;trde_gold_tp;stex_tp,api-id;authorization,--code when a code/symbol/sector/theme is required,Implemented as an explicit stocks read command; request fields are mapped in arguments.csv.
ka10018,고저가근접요청,국내주식,종목정보,stocks,high-low-near,kiwoom stocks high-low-near,implemented,public,read,POST,/api/dostk/stkinfo,high_low_tp;alacc_rt;mrkt_tp;trde_qty_tp;stk_cnd;crd_cnd;stex_tp,api-id;authorization,--code when a code/symbol/sector/theme is required,Implemented as an explicit stocks read command; request fields are mapped in arguments.csv.
ka10019,가격급등락요청,국내주식,종목정보,stocks,price-spike,kiwoom stocks price-spike,implemented,public,read,POST,/api/dostk/stkinfo,mrkt_tp;flu_tp;tm_tp;tm;trde_qty_tp;stk_cnd;crd_cnd;pric_cnd;updown_incls;stex_tp,api-id;authorization,--code when a code/symbol/sector/theme is required,Implemented as an explicit stocks read command; request fields are mapped in arguments.csv.
ka10020,호가잔량상위요청,국내주식,순위정보,rankings,orderbook-balance,kiwoom rankings orderbook-balance,implemented,public,read,POST,/api/dostk/rkinfo,mrkt_tp;sort_tp;trde_qty_tp;stk_cnd;crd_cnd;stex_tp,api-id;authorization,--code when a code/symbol/sector/theme is required,Implemented via explicit arguments.csv mapping; overseas rankings remain TODO until overseas runtime is verified.
ka10021,호가잔량급증요청,국내주식,순위정보,rankings,orderbook-balance-spike,kiwoom rankings orderbook-balance-spike,implemented,public,read,POST,/api/dostk/rkinfo,mrkt_tp;trde_tp;sort_tp;tm_tp;trde_qty_tp;stk_cnd;stex_tp,api-id;authorization,--code when a code/symbol/sector/theme is required,Implemented via explicit arguments.csv mapping; overseas rankings remain TODO until overseas runtime is verified.
ka10022,잔량율급증요청,국내주식,순위정보,rankings,balance-rate-spike,kiwoom rankings balance-rate-spike,implemented,public,read,POST,/api/dostk/rkinfo,mrkt_tp;rt_tp;tm_tp;trde_qty_tp;stk_cnd;stex_tp,api-id;authorization,--code when a code/symbol/sector/theme is required,Implemented via explicit arguments.csv mapping; overseas rankings remain TODO until overseas runtime is verified.
ka10023,거래량급증요청,국내주식,순위정보,rankings,volume-spike,kiwoom rankings volume-spike,implemented,public,read,POST,/api/dostk/rkinfo,mrkt_tp;sort_tp;tm_tp;trde_qty_tp;stk_cnd;pric_tp;stex_tp,api-id;authorization,--code when a code/symbol/sector/theme is required,Implemented via explicit arguments.csv mapping; overseas rankings remain TODO until overseas runtime is verified.
ka10024,거래량갱신요청,국내주식,종목정보,stocks,volume-renewal,kiwoom stocks volume-renewal,implemented,public,read,POST,/api/dostk/stkinfo,mrkt_tp;cycle_tp;trde_qty_tp;stex_tp,api-id;authorization,--code when a code/symbol/sector/theme is required,Implemented as an explicit stocks read command; request fields are mapped in arguments.csv.
