command_path,option,dest,kiwoom_field,required,type,choices,value_map,default,description
kiwoom stocks info,--code,code,stk_cd,Y,stock_code,,,,6자리 국내 종목코드
kiwoom quotes price,--code,code,stk_cd,Y,stock_code,,,,6자리 국내 종목코드
kiwoom orderbooks list,--code,code,stk_cd,Y,stock_code,,,,6자리 국내 종목코드
kiwoom candles daily,--code,code,stk_cd,Y,stock_code,,,,6자리 국내 종목코드
kiwoom candles daily,--date,date,base_dt,Y,date_yyyymmdd,,,,기준일자 YYYYMMDD
kiwoom candles daily,--adjusted,adjusted,upd_stkpc_tp,N,adjusted_price_flag,0|1|true|false|adjusted|raw,,1,수정주가 구분
kiwoom candles by-stock,--date,date,dt,Y,date_yyyymmdd,,,,조회일자 YYYYMMDD
kiwoom candles by-stock,--code,code,stk_cd,Y,stock_code,,,,6자리 국내 종목코드
kiwoom candles by-stock,--basis,basis,amt_qty_tp,Y,market,amount|quantity,amount=1;quantity=2,,금액/수량 구분
kiwoom candles by-stock,--side,side,trde_tp,Y,market,net-buy|buy|sell,net-buy=0;buy=1;sell=2,,매매구분
kiwoom candles by-stock,--unit,unit,unit_tp,Y,market,thousand|share,thousand=1000;share=1,,단위구분
kiwoom candles lookup,--market,market,mrkt_tp,Y,market,all|kospi|kosdaq,all=000;kospi=001;kosdaq=101,,시장구분
kiwoom candles lookup,--basis,basis,amt_qty_tp,Y,market,amount|quantity,amount=1;quantity=2,,금액/수량 구분
kiwoom candles lookup,--side,side,trde_tp,Y,market,net-buy|buy|sell,net-buy=0;buy=1;sell=2,,매매구분
kiwoom candles lookup,--code,code,stk_cd,Y,stock_code,,,,6자리 국내 종목코드
kiwoom etfs info,--code,code,stk_cd,Y,stock_code,,,,6자리 국내 ETF 종목코드
kiwoom etfs daily,--code,code,stk_cd,Y,stock_code,,,,6자리 국내 ETF 종목코드
kiwoom etfs profit,--code,code,stk_cd,Y,stock_code,,,,6자리 국내 ETF 종목코드
kiwoom etfs profit,--index-code,index_code,etfobjt_idex_cd,Y,market,,,,ETF 대상지수코드
kiwoom etfs profit,--period,period,dt,Y,market,week|month|six-months|year,week=0;month=1;six-months=2;year=3,,기간
kiwoom etfs list,--tax-type,tax_type,txon_type,Y,market,all|tax-free|holding-tax|company|foreign|foreign-tax-free,all=0;tax-free=1;holding-tax=2;company=3;foreign=4;foreign-tax-free=5,,과세유형
kiwoom etfs list,--nav-compare,nav_compare,navpre,Y,market,all|nav-gt-close|nav-lt-close,all=0;nav-gt-close=1;nav-lt-close=2,,NAV 대비
kiwoom etfs list,--manager,manager,mngmcomp,Y,market,,,,운용사 코드
kiwoom etfs list,--taxable,taxable,txon_yn,Y,market,all|taxable|tax-free,all=0;taxable=1;tax-free=2,,과세여부
kiwoom etfs list,--tracking-index,tracking_index,trace_idex,Y,market,,,,추적지수 코드
kiwoom etfs list,--exchange,exchange,stex_tp,Y,market,KRX|NXT|ALL,KRX=1;NXT=2;ALL=3,,거래소구분
kiwoom etfs intraday-trend,--code,code,stk_cd,Y,stock_code,,,,6자리 국내 ETF 종목코드
kiwoom etfs intraday-fills,--code,code,stk_cd,Y,stock_code,,,,6자리 국내 ETF 종목코드
kiwoom etfs daily-fills,--code,code,stk_cd,Y,stock_code,,,,6자리 국내 ETF 종목코드
kiwoom etfs nav,--code,code,stk_cd,Y,stock_code,,,,6자리 국내 ETF 종목코드
kiwoom etfs foreign-trend,--code,code,stk_cd,Y,stock_code,,,,6자리 국내 ETF 종목코드
kiwoom elws daily,--code,code,stk_cd,Y,instrument_code,,,,6자리 ELW 종목코드
kiwoom elws balance,--code,code,bsis_aset_cd,Y,market,,,,기초자산코드
kiwoom elws balance,--date,date,base_dt,Y,date_yyyymmdd,,,,기준일자 YYYYMMDD
kiwoom elws conditions,--issuer-code,issuer_code,isscomp_cd,Y,market,,,,발행사코드
kiwoom elws conditions,--underlying-code,underlying_code,bsis_aset_cd,Y,market,,,,기초자산코드
kiwoom elws conditions,--right-type,right_type,rght_tp,Y,market,all|call|put|dc|dp|ex|early-call|early-put,all=0;call=1;put=2;dc=3;dp=4;ex=5;early-call=6;early-put=7,,권리구분
kiwoom elws conditions,--lp-code,lp_code,lpcd,Y,market,,,,LP코드
kiwoom elws conditions,--sort,sort,sort_tp,Y,market,none|rise-rate|rise-price|fall-rate|fall-price|volume|amount|days-left,none=0;rise-rate=1;rise-price=2;fall-rate=3;fall-price=4;volume=5;amount=6;days-left=7,,정렬구분
kiwoom elws sensitivity,--code,code,stk_cd,Y,instrument_code,,,,6자리 ELW 종목코드
kiwoom elws price-move,--direction,direction,flu_tp,Y,market,rise|fall,rise=1;fall=2,,등락구분
kiwoom elws price-move,--time-unit,time_unit,tm_tp,Y,market,minute|day,minute=1;day=2,,시간구분
kiwoom elws price-move,--time,time,tm,Y,quantity,,,,시간 값
kiwoom elws price-move,--volume,volume,trde_qty_tp,Y,market,all|10k|50k|100k|300k|500k|1000k,all=0;10k=10;50k=50;100k=100;300k=300;500k=500;1000k=1000,,거래량구분
kiwoom elws price-move,--issuer-code,issuer_code,isscomp_cd,Y,market,,,,발행사코드
kiwoom elws price-move,--underlying-code,underlying_code,bsis_aset_cd,Y,market,,,,기초자산코드
kiwoom elws price-move,--right-type,right_type,rght_tp,Y,market,all|call|put|dc|dp|ex|early-call|early-put,all=000;call=001;put=002;dc=003;dp=004;ex=005;early-call=006;early-put=007,,권리구분
kiwoom elws price-move,--lp-code,lp_code,lpcd,Y,market,,,,LP코드
kiwoom elws price-move,--include-ended,include_ended,trde_end_elwskip,Y,market,yes|no,yes=0;no=1,,거래종료ELW 포함 여부
kiwoom elws broker-net,--issuer-code,issuer_code,isscomp_cd,Y,market,,,,발행사코드
kiwoom elws broker-net,--volume,volume,trde_qty_tp,Y,market,all|5k|10k|50k|100k|500k|1000k,all=0;5k=5;10k=10;50k=50;100k=100;500k=500;1000k=1000,,거래량구분
kiwoom elws broker-net,--side,side,trde_tp,Y,market,net-buy|net-sell,net-buy=1;net-sell=2,,매매구분
kiwoom elws broker-net,--period,period,dt,Y,market,previous|5d|10d|40d|60d,previous=1;5d=5;10d=10;40d=40;60d=60,,기간
kiwoom elws broker-net,--include-ended,include_ended,trde_end_elwskip,Y,market,yes|no,yes=0;no=1,,거래종료ELW 포함 여부
kiwoom elws divergence,--issuer-code,issuer_code,isscomp_cd,Y,market,,,,발행사코드
kiwoom elws divergence,--underlying-code,underlying_code,bsis_aset_cd,Y,market,,,,기초자산코드
kiwoom elws divergence,--right-type,right_type,rght_tp,Y,market,all|call|put|dc|dp|ex|early-call|early-put,all=000;call=001;put=002;dc=003;dp=004;ex=005;early-call=006;early-put=007,,권리구분
kiwoom elws divergence,--lp-code,lp_code,lpcd,Y,market,,,,LP코드
kiwoom elws divergence,--include-ended,include_ended,trde_end_elwskip,Y,market,yes|no,yes=0;no=1,,거래종료ELW 포함 여부
kiwoom elws change-rank,--sort,sort,sort_tp,Y,market,rise-rate|rise-price|fall-rate|fall-price,rise-rate=1;rise-price=2;fall-rate=3;fall-price=4,,정렬구분
kiwoom elws change-rank,--right-type,right_type,rght_tp,Y,market,all|call|put|dc|dp|early-call|early-put,all=000;call=001;put=002;dc=003;dp=004;early-call=006;early-put=007,,권리구분
kiwoom elws change-rank,--include-ended,include_ended,trde_end_skip,Y,market,yes|no,yes=0;no=1,,거래종료 포함 여부
kiwoom elws balance-rank,--sort,sort,sort_tp,Y,market,buy-balance|sell-balance,buy-balance=1;sell-balance=2,,정렬구분
kiwoom elws balance-rank,--right-type,right_type,rght_tp,Y,market,all|call|put|dc|dp|early-call|early-put,all=000;call=001;put=002;dc=003;dp=004;early-call=006;early-put=007,,권리구분
kiwoom elws balance-rank,--include-ended,include_ended,trde_end_skip,Y,market,yes|no,yes=0;no=1,,거래종료 포함 여부
kiwoom elws proximity,--code,code,stk_cd,Y,instrument_code,,,,6자리 ELW 종목코드
kiwoom elws details,--code,code,stk_cd,Y,instrument_code,,,,6자리 ELW 종목코드
kiwoom investors by-stock,--code,code,stk_cd,Y,stock_code,,,,6자리 국내 종목코드
kiwoom investors lookup,--code,code,stk_cd,Y,stock_code,,,,6자리 국내 종목코드
kiwoom investors trend,--period,period,dt,Y,market,recent|3d|5d|10d|20d|120d|range,recent=1;3d=3;5d=5;10d=10;20d=20;120d=120;range=0,,기간
kiwoom investors trend,--from,from_date,strt_dt,N,date_yyyymmdd,,,,시작일자 YYYYMMDD
kiwoom investors trend,--to,to_date,end_dt,N,date_yyyymmdd,,,,종료일자 YYYYMMDD
kiwoom investors trend,--market,market,mrkt_tp,Y,market,kospi|kosdaq,kospi=001;kosdaq=101,,장구분
kiwoom investors trend,--side,side,netslmt_tp,Y,market,net-buy,net-buy=2,,순매도수구분
kiwoom investors trend,--target,target,stk_inds_tp,Y,market,stock|sector,stock=0;sector=1,,종목업종구분
kiwoom investors trend,--basis,basis,amt_qty_tp,Y,market,amount|quantity,amount=0;quantity=1,,금액수량구분
kiwoom investors trend,--exchange,exchange,stex_tp,Y,market,KRX|NXT|ALL,KRX=1;NXT=2;ALL=3,,거래소구분
kiwoom short-selling trend,--code,code,stk_cd,Y,stock_code,,,,6자리 국내 종목코드
kiwoom short-selling trend,--from,from_date,strt_dt,Y,date_yyyymmdd,,,,시작일자 YYYYMMDD
kiwoom short-selling trend,--to,to_date,end_dt,Y,date_yyyymmdd,,,,종료일자 YYYYMMDD
kiwoom securities-lending by-stock,--code,code,stk_cd,Y,stock_code,,,,6자리 국내 종목코드
kiwoom securities-lending trend,--from,from_date,strt_dt,N,date_yyyymmdd,,,,시작일자 YYYYMMDD
kiwoom securities-lending trend,--to,to_date,end_dt,N,date_yyyymmdd,,,,종료일자 YYYYMMDD
kiwoom securities-lending trend,,,all_tp,Y,market,,,1,전체표시 고정값
kiwoom securities-lending list,--from,from_date,strt_dt,Y,date_yyyymmdd,,,,시작일자 YYYYMMDD
kiwoom securities-lending list,--to,to_date,end_dt,N,date_yyyymmdd,,,,종료일자 YYYYMMDD
kiwoom securities-lending list,--market,market,mrkt_tp,Y,market,kospi|kosdaq,kospi=001;kosdaq=101,,시장구분
kiwoom securities-lending lookup,--date,date,dt,Y,date_yyyymmdd,,,,조회일자 YYYYMMDD
kiwoom securities-lending lookup,--market,market,mrkt_tp,Y,market,kospi|kosdaq,kospi=001;kosdaq=101,,시장구분
kiwoom themes by-stock,--code,code,thema_grp_cd,Y,market,,,,테마그룹코드
kiwoom themes by-stock,--exchange,exchange,stex_tp,Y,market,KRX|NXT|ALL,KRX=1;NXT=2;ALL=3,,거래소구분
kiwoom themes by-stock,--days,days,date_tp,N,market,,,,기간 일수
kiwoom themes lookup,--kind,kind,qry_tp,Y,market,all|theme|stock,all=0;theme=1;stock=2,,검색구분
kiwoom themes lookup,--days,days,date_tp,Y,market,,,,기간 일수
kiwoom themes lookup,--sort,sort,flu_pl_amt_tp,Y,market,profit-top|profit-bottom|change-top|change-bottom,profit-top=1;profit-bottom=2;change-top=3;change-bottom=4,,정렬 기준
kiwoom themes lookup,--exchange,exchange,stex_tp,Y,market,KRX|NXT|ALL,KRX=1;NXT=2;ALL=3,,거래소구분
kiwoom themes lookup,--code,code,stk_cd,N,stock_code,,,,종목코드
kiwoom themes lookup,--name,name,thema_nm,N,market,,,,테마명
kiwoom sectors program,--code,code,stk_cd,Y,stock_code,,,,거래소별 종목코드
