command_path,output_key,label,arg_name,value_label_group,include_if_empty,empty_display
kiwoom orders buy,kind,구분,__kind__,,Y,
kiwoom orders buy,exchange,시장,exchange,,Y,
kiwoom orders buy,code,종목,code,,Y,
kiwoom orders buy,quantity,수량,qty,,Y,
kiwoom orders buy,order_type,유형,order_type,order_type,Y,
kiwoom orders buy,price,가격,price,,Y,없음
kiwoom orders sell,kind,구분,__kind__,,Y,
kiwoom orders sell,exchange,시장,exchange,,Y,
kiwoom orders sell,code,종목,code,,Y,
kiwoom orders sell,quantity,수량,qty,,Y,
kiwoom orders sell,order_type,유형,order_type,order_type,Y,
kiwoom orders sell,price,가격,price,,Y,없음
kiwoom orders modify,kind,구분,__kind__,,Y,
kiwoom orders modify,exchange,시장,exchange,,Y,
kiwoom orders modify,code,종목,code,,Y,
kiwoom orders modify,original_order_id,원주문번호,order_id,,Y,
kiwoom orders modify,quantity,정정수량,qty,,Y,
kiwoom orders modify,price,정정가격,price,,Y,
kiwoom orders cancel,kind,구분,__kind__,,Y,
kiwoom orders cancel,exchange,시장,exchange,,Y,
kiwoom orders cancel,code,종목,code,,Y,
kiwoom orders cancel,original_order_id,원주문번호,order_id,,Y,
kiwoom orders cancel,quantity,취소수량,qty,,Y,
kiwoom orders credit-buy,kind,구분,__kind__,,Y,
kiwoom orders credit-buy,exchange,시장,exchange,,Y,
kiwoom orders credit-buy,code,종목,code,,Y,
kiwoom orders credit-buy,quantity,수량,qty,,Y,
kiwoom orders credit-buy,order_type,유형,order_type,order_type,Y,
kiwoom orders credit-buy,price,가격,price,,Y,없음
kiwoom orders credit-buy,condition_price,조건가격,condition_price,,N,
kiwoom orders credit-sell,kind,구분,__kind__,,Y,
kiwoom orders credit-sell,exchange,시장,exchange,,Y,
kiwoom orders credit-sell,code,종목,code,,Y,
kiwoom orders credit-sell,quantity,수량,qty,,Y,
kiwoom orders credit-sell,order_type,유형,order_type,order_type,Y,
kiwoom orders credit-sell,price,가격,price,,Y,없음
kiwoom orders credit-sell,credit_deal,신용거래,credit_deal,credit_deal,Y,
kiwoom orders credit-sell,loan_date,대출일,loan_date,,N,
kiwoom orders credit-sell,condition_price,조건가격,condition_price,,N,
kiwoom orders credit-modify,kind,구분,__kind__,,Y,
kiwoom orders credit-modify,exchange,시장,exchange,,Y,
kiwoom orders credit-modify,code,종목,code,,Y,
kiwoom orders credit-modify,original_order_id,원주문번호,order_id,,Y,
kiwoom orders credit-modify,quantity,정정수량,qty,,Y,
kiwoom orders credit-modify,price,정정가격,price,,Y,
kiwoom orders credit-modify,condition_price,정정조건가격,condition_price,,N,
kiwoom orders credit-cancel,kind,구분,__kind__,,Y,
kiwoom orders credit-cancel,exchange,시장,exchange,,Y,
kiwoom orders credit-cancel,code,종목,code,,Y,
kiwoom orders credit-cancel,original_order_id,원주문번호,order_id,,Y,
kiwoom orders credit-cancel,quantity,취소수량,qty,,Y,
kiwoom orders gold-buy,kind,구분,__kind__,,Y,
kiwoom orders gold-buy,code,종목,code,,Y,
kiwoom orders gold-buy,quantity,수량,qty,,Y,
kiwoom orders gold-buy,order_type,유형,order_type,order_type,Y,
kiwoom orders gold-buy,price,가격,price,,Y,
kiwoom orders gold-sell,kind,구분,__kind__,,Y,
kiwoom orders gold-sell,code,종목,code,,Y,
kiwoom orders gold-sell,quantity,수량,qty,,Y,
kiwoom orders gold-sell,order_type,유형,order_type,order_type,Y,
kiwoom orders gold-sell,price,가격,price,,Y,
kiwoom orders gold-modify,kind,구분,__kind__,,Y,
kiwoom orders gold-modify,code,종목,code,,Y,
kiwoom orders gold-modify,original_order_id,원주문번호,order_id,,Y,
kiwoom orders gold-modify,quantity,정정수량,qty,,Y,
kiwoom orders gold-modify,price,정정가격,price,,Y,
kiwoom orders gold-cancel,kind,구분,__kind__,,Y,
kiwoom orders gold-cancel,original_order_id,원주문번호,order_id,,Y,
kiwoom orders gold-cancel,code,종목,code,,Y,
kiwoom orders gold-cancel,quantity,취소수량,qty,,Y,
