group,value,label
order_type,limit,지정가
order_type,market,시장가
order_type,conditional-limit,조건부지정가
order_type,after-hours-close,장마감후시간외
order_type,pre-open,장시작전시간외
order_type,after-hours-single,시간외단일가
order_type,best-limit,최유리지정가
order_type,top-priority,최우선지정가
order_type,limit-ioc,보통(IOC)
order_type,market-ioc,시장가(IOC)
order_type,best-ioc,최유리(IOC)
order_type,limit-fok,보통(FOK)
order_type,market-fok,시장가(FOK)
order_type,best-fok,최유리(FOK)
order_type,stop-limit,스톱지정가
order_type,mid,중간가
order_type,mid-ioc,중간가(IOC)
order_type,mid-fok,중간가(FOK)
credit_deal,financing,융자
credit_deal,financing-all,융자합
